id,cliente_id,data,status
121,1827,2025-01-21,pendente
122,1700,2025-05-23,pago
123,824,2025-02-24,pendente
124,2372,2025-05-24,pago
125,1297,2025-01-16,enviado
126,1208,2025-01-21,entregue
127,1402,2025-04-18,cancelado
128,1694,2025-03-29,entregue
129,1351,2025-04-15,enviado
130,2116,2025-03-27,enviado
131,1818,2025-03-14,cancelado
132,1361,2025-05-10,entregue
133,2747,2025-03-05,enviado
134,1654,2025-02-26,enviado
135,2854,2025-02-18,pendente
136,877,2025-02-12,entregue
137,1224,2025-03-17,entregue
138,1756,2025-04-25,pago
139,733,2025-01-17,entregue
140,780,2025-04-28,pago
141,2559,2025-02-08,pago
142,320,2025-05-09,enviado
143,2059,2025-02-20,cancelado
144,671,2025-02-12,cancelado
145,758,2025-04-23,entregue
146,498,2025-02-27,entregue
147,1017,2025-03-08,entregue
148,753,2025-03-20,pendente
149,223,2025-04-29,cancelado
150,157,2025-04-23,pendente
151,2961,2025-02-09,pendente
152,2422,2025-02-18,pago
153,603,2025-02-15,cancelado
154,860,2025-06-04,enviado
155,1500,2025-02-15,pendente
156,393,2025-02-17,entregue
157,2001,2025-06-01,pago
158,1375,2025-03-08,cancelado
159,2140,2025-03-20,pago
160,2488,2025-01-30,pago
161,2447,2025-01-27,cancelado
162,1819,2025-02-03,cancelado
163,1176,2025-02-11,pendente
164,575,2025-01-15,entregue
165,392,2025-01-05,pago
166,2938,2025-01-05,pago
167,729,2025-04-05,enviado
168,1129,2025-06-04,enviado
169,693,2025-05-18,entregue
170,2911,2025-04-09,enviado
171,2238,2025-06-02,pendente
172,371,2025-02-02,entregue
173,48,2025-03-28,pendente
174,773,2025-01-24,enviado
175,1783,2025-02-07,pago
176,1356,2025-03-26,entregue
177,2414,2025-03-10,pendente
178,1345,2025-03-18,pendente
179,1974,2025-04-29,cancelado
180,2021,2025-01-09,enviado
181,1004,2025-02-13,entregue
182,2927,2025-02-18,pendente
183,1413,2025-05-06,enviado
184,693,2025-03-05,pendente
185,2296,2025-03-18,enviado
186,1877,2025-03-18,pendente
187,2542,2025-03-28,pago
188,579,2025-03-19,cancelado
189,2324,2025-01-09,enviado
190,2786,2025-03-28,entregue
191,2840,2025-01-08,pendente
192,1596,2025-01-07,enviado
193,1918,2025-01-20,enviado
194,120,2025-02-07,entregue
195,98,2025-02-25,entregue
196,456,2025-03-28,pago
197,1232,2025-01-29,enviado
198,1220,2025-01-25,cancelado
199,638,2025-02-17,entregue
200,1822,2025-04-13,pendente
201,2495,2025-06-02,enviado
202,636,2025-03-01,entregue
203,110,2025-02-02,enviado
204,731,2025-03-06,cancelado
205,642,2025-03-17,pendente
206,1726,2025-01-19,cancelado
207,1855,2025-01-15,cancelado
208,2629,2025-02-12,pago
209,1721,2025-04-07,enviado
210,542,2025-03-27,cancelado
211,1473,2025-04-12,cancelado
212,691,2025-02-16,pendente
213,381,2025-01-12,pago
214,461,2025-04-27,pago
215,1960,2025-01-17,pago
216,114,2025-05-13,entregue
217,1351,2025-01-11,enviado
218,1455,2025-02-08,cancelado
219,1035,2025-05-07,entregue
220,2127,2025-05-13,pendente
221,1277,2025-03-13,entregue
222,1776,2025-02-01,pago
223,1941,2025-04-30,pendente
224,2138,2025-04-09,cancelado
225,2989,2025-04-13,entregue
226,2923,2025-03-15,enviado
227,879,2025-02-05,cancelado
228,1430,2025-01-01,enviado
229,667,2025-02-19,pago
230,2976,2025-05-06,enviado
231,818,2025-05-22,pendente
232,1444,2025-04-20,entregue
233,633,2025-04-25,enviado
234,1048,2025-03-02,cancelado
235,687,2025-01-19,entregue
236,114,2025-04-16,pendente
237,762,2025-04-26,entregue
238,1687,2025-05-24,pendente
239,315,2025-03-04,cancelado
240,1024,2025-05-30,cancelado
241,277,2025-05-18,pago
242,1328,2025-02-20,entregue
243,2286,2025-02-16,cancelado
244,402,2025-05-11,pago
245,654,2025-01-23,cancelado
246,2410,2025-05-28,cancelado
247,199,2025-02-15,entregue
248,1066,2025-04-05,pago
249,2199,2025-01-08,pendente
250,2022,2025-06-03,pendente
251,69,2025-02-05,pendente
252,2434,2025-03-31,pago
253,702,2025-05-10,entregue
254,2698,2025-03-18,pago
255,2134,2025-04-01,enviado
256,2355,2025-03-20,cancelado
257,359,2025-03-28,pago
258,1527,2025-05-09,cancelado
259,4,2025-03-23,cancelado
260,1370,2025-04-01,enviado
261,2239,2025-04-28,pago
262,2379,2025-03-17,enviado
263,50,2025-01-28,cancelado
264,1691,2025-04-20,enviado
265,291,2025-05-03,enviado
266,1147,2025-01-17,enviado
267,412,2025-05-19,enviado
268,2311,2025-04-26,pago
269,1443,2025-04-22,pendente
270,2963,2025-01-31,pendente
271,2630,2025-02-12,cancelado
272,1641,2025-02-14,pendente
273,1770,2025-03-20,pago
274,1764,2025-01-10,cancelado
275,1905,2025-03-17,enviado
276,18,2025-03-21,pago
277,2827,2025-01-07,cancelado
278,1861,2025-05-31,cancelado
279,277,2025-01-14,pendente
280,2740,2025-01-06,pendente
281,373,2025-01-09,pago
282,1612,2025-01-22,entregue
283,2449,2025-05-20,pago
284,901,2025-01-14,cancelado
285,441,2025-05-07,pendente
286,168,2025-03-08,entregue
287,1661,2025-01-24,enviado
288,702,2025-02-10,entregue
289,108,2025-02-26,enviado
290,2581,2025-05-10,entregue
291,2125,2025-06-04,pago
292,2105,2025-01-29,enviado
293,2441,2025-02-26,pago
294,2776,2025-05-29,pendente
295,1701,2025-03-28,entregue
296,2101,2025-03-31,pendente
297,820,2025-01-13,enviado
298,1875,2025-03-01,pago
299,2327,2025-01-16,pago
300,870,2025-03-20,pendente
301,820,2025-02-24,pendente
302,1203,2025-05-22,enviado
303,1352,2025-02-07,enviado
304,590,2025-03-10,pago
305,2361,2025-05-23,entregue
306,1130,2025-02-03,pendente
307,1568,2025-01-20,pendente
308,2331,2025-02-25,entregue
309,665,2025-05-14,entregue
310,910,2025-03-28,entregue
311,1586,2025-02-28,pago
312,2295,2025-05-15,entregue
313,2552,2025-05-12,enviado
314,189,2025-05-10,cancelado
315,2150,2025-03-01,pago
316,885,2025-05-20,cancelado
317,1637,2025-04-26,entregue
318,919,2025-02-04,cancelado
319,2986,2025-04-09,pendente
320,2214,2025-01-29,pendente
321,628,2025-01-22,pago
322,1243,2025-03-25,pendente
323,1308,2025-05-26,pendente
324,538,2025-03-07,cancelado
325,2612,2025-01-26,cancelado
326,2536,2025-01-30,pago
327,2239,2025-03-28,entregue
328,1051,2025-03-20,pendente
329,1501,2025-02-22,pago
330,183,2025-01-01,cancelado
331,886,2025-04-17,entregue
332,2733,2025-01-12,cancelado
333,1107,2025-02-21,entregue
334,246,2025-03-31,pago
335,2414,2025-04-17,enviado
336,792,2025-04-01,enviado
337,2729,2025-04-15,pendente
338,2845,2025-03-01,enviado
339,2016,2025-04-09,enviado
340,1204,2025-01-24,pendente
341,1085,2025-03-15,pendente
342,1472,2025-06-04,enviado
343,798,2025-03-12,enviado
344,953,2025-02-19,pago
345,817,2025-03-31,pago
346,2806,2025-05-28,entregue
347,499,2025-05-15,cancelado
348,1030,2025-04-26,pago
349,1419,2025-02-01,entregue
350,111,2025-04-10,cancelado
351,2741,2025-03-15,pendente
352,2190,2025-02-14,entregue
353,2806,2025-04-23,pendente
354,1041,2025-05-18,pago
355,2094,2025-05-06,enviado
356,352,2025-04-28,pendente
357,2049,2025-01-06,entregue
358,2762,2025-01-16,cancelado
359,1446,2025-04-28,pago
360,604,2025-04-04,pendente
361,1177,2025-05-14,enviado
362,713,2025-02-01,entregue
363,1207,2025-01-04,pago
364,2208,2025-01-02,cancelado
365,2826,2025-01-11,pago
366,319,2025-04-28,entregue
367,790,2025-02-28,enviado
368,1747,2025-01-28,enviado
369,1343,2025-03-05,pendente
370,576,2025-04-11,entregue
371,2570,2025-05-07,enviado
372,2076,2025-03-30,pago
373,257,2025-03-27,entregue
374,1643,2025-01-05,entregue
375,1307,2025-01-12,cancelado
376,1277,2025-04-01,entregue
377,578,2025-01-15,enviado
378,187,2025-05-31,entregue
379,2827,2025-03-11,pendente
380,1899,2025-01-21,cancelado
381,728,2025-04-19,pendente
382,463,2025-03-19,entregue
383,948,2025-01-06,enviado
384,2564,2025-01-09,pendente
385,1743,2025-03-23,cancelado
386,1210,2025-01-06,cancelado
387,128,2025-02-13,cancelado
388,201,2025-03-23,entregue
389,1690,2025-04-01,cancelado
390,1507,2025-04-30,pago
391,1006,2025-03-29,pago
392,2677,2025-03-12,pendente
393,478,2025-06-01,cancelado
394,2480,2025-02-28,pago
395,1213,2025-04-10,enviado
396,1989,2025-03-18,cancelado
397,1009,2025-03-21,entregue
398,611,2025-01-31,cancelado
399,2453,2025-02-04,pago
400,1400,2025-01-23,pago
401,2697,2025-04-30,pendente
402,1372,2025-05-12,pago
403,422,2025-05-29,cancelado
404,1289,2025-02-07,cancelado
405,1016,2025-02-01,pendente
406,2302,2025-04-03,pendente
407,2799,2025-03-07,entregue
408,2143,2025-02-24,cancelado
409,2860,2025-04-01,entregue
410,1174,2025-02-09,enviado
411,2525,2025-03-27,pendente
412,856,2025-03-24,pendente
413,2597,2025-02-04,entregue
414,1061,2025-03-06,cancelado
415,2911,2025-02-01,enviado
416,901,2025-05-02,cancelado
417,1394,2025-01-29,enviado
418,2962,2025-04-09,pendente
419,1844,2025-03-18,pago
420,157,2025-04-29,pendente
421,1800,2025-05-07,enviado
422,1372,2025-04-06,enviado
423,1818,2025-05-03,pendente
424,1407,2025-05-14,enviado
425,2614,2025-02-15,pago
426,1446,2025-04-27,enviado
427,1469,2025-03-30,entregue
428,825,2025-04-11,pendente
429,1614,2025-04-22,cancelado
430,2206,2025-03-31,enviado
431,1641,2025-02-19,cancelado
432,91,2025-03-05,cancelado
433,487,2025-03-29,enviado
434,100,2025-06-04,entregue
435,588,2025-04-20,pendente
436,513,2025-02-12,pendente
437,2689,2025-02-10,cancelado
438,1196,2025-02-22,pago
439,2684,2025-05-17,enviado
440,993,2025-03-01,cancelado
441,340,2025-03-05,pago
442,2735,2025-02-06,entregue
443,1301,2025-01-24,enviado
444,85,2025-03-28,pendente
445,1888,2025-02-21,enviado
446,2592,2025-02-01,entregue
447,876,2025-05-15,pago
448,2971,2025-03-28,entregue
449,45,2025-01-10,pago
450,11,2025-05-12,pago
451,2343,2025-03-19,pendente
452,377,2025-05-10,enviado
453,223,2025-05-24,pago
454,927,2025-03-23,entregue
455,1046,2025-03-19,enviado
456,2318,2025-02-13,enviado
457,2682,2025-03-24,cancelado
458,1285,2025-02-24,entregue
459,2527,2025-03-21,cancelado
460,205,2025-03-02,pago
461,533,2025-05-04,pago
462,951,2025-04-30,pendente
463,576,2025-01-22,pendente
464,171,2025-02-11,cancelado
465,2293,2025-05-09,pendente
466,2417,2025-03-01,cancelado
467,1777,2025-01-10,entregue
468,2665,2025-04-30,entregue
469,1620,2025-04-19,pendente
470,2525,2025-04-13,cancelado
471,2564,2025-01-19,enviado
472,2881,2025-05-09,cancelado
473,864,2025-01-16,pago
474,2502,2025-03-18,enviado
475,2269,2025-03-26,enviado
476,2756,2025-01-15,entregue
477,2437,2025-01-24,cancelado
478,206,2025-04-25,entregue
479,2338,2025-05-28,cancelado
480,1014,2025-04-18,entregue
481,1081,2025-03-19,cancelado
482,2714,2025-03-29,enviado
483,496,2025-02-10,enviado
484,2349,2025-02-18,enviado
485,2852,2025-01-02,cancelado
486,1095,2025-03-07,entregue
487,1830,2025-04-21,pendente
488,2406,2025-03-17,enviado
489,1322,2025-01-10,pendente
490,2934,2025-05-23,entregue
491,1397,2025-01-21,pendente
492,445,2025-05-05,enviado
493,2412,2025-05-13,pendente
494,2283,2025-01-29,pago
495,2339,2025-06-04,pendente
496,75,2025-04-25,pendente
497,1271,2025-03-19,entregue
498,452,2025-03-14,cancelado
499,2728,2025-03-07,pendente
500,2047,2025-02-05,pago
501,1124,2025-03-25,cancelado
502,1235,2025-04-04,enviado
503,823,2025-02-08,entregue
504,2472,2025-01-29,entregue
505,1953,2025-02-17,enviado
506,1356,2025-01-29,pendente
507,2361,2025-01-26,cancelado
508,2462,2025-05-17,enviado
509,438,2025-03-25,enviado
510,2841,2025-04-28,pendente
511,630,2025-01-18,entregue
512,1870,2025-03-25,enviado
513,1429,2025-06-01,enviado
514,2559,2025-01-31,pago
515,2907,2025-05-11,pago
516,2258,2025-01-19,entregue
517,1911,2025-03-05,enviado
518,1949,2025-05-26,pendente
519,341,2025-05-14,pago
520,2265,2025-03-03,pendente
521,1029,2025-03-15,enviado
522,1362,2025-01-19,enviado
523,234,2025-04-23,entregue
524,2746,2025-05-13,enviado
525,713,2025-03-24,enviado
526,1951,2025-04-17,pendente
527,2215,2025-02-26,cancelado
528,1241,2025-04-03,enviado
529,1107,2025-03-12,cancelado
530,2568,2025-03-18,enviado
531,308,2025-05-20,enviado
532,82,2025-03-30,entregue
533,2550,2025-01-06,pago
534,1471,2025-05-11,cancelado
535,1207,2025-05-25,enviado
536,2012,2025-03-29,pendente
537,1825,2025-03-06,pago
538,1000,2025-04-30,enviado
539,956,2025-05-01,pendente
540,2625,2025-04-29,pendente
541,1557,2025-02-19,entregue
542,1552,2025-02-28,cancelado
543,151,2025-01-19,enviado
544,105,2025-04-07,pendente
545,1881,2025-05-26,enviado
546,870,2025-05-20,pago
547,1906,2025-05-17,pendente
548,2849,2025-02-17,entregue
549,2302,2025-04-13,pendente
550,1083,2025-03-17,pendente
551,562,2025-02-03,pendente
552,43,2025-03-06,enviado
553,1734,2025-01-29,cancelado
554,2706,2025-02-07,cancelado
555,1167,2025-05-24,pendente
556,1367,2025-01-30,entregue
557,2394,2025-02-12,enviado
558,1088,2025-02-23,enviado
559,948,2025-05-04,pendente
560,2130,2025-03-28,pago
561,1812,2025-03-05,cancelado
562,2898,2025-02-01,pendente
563,2779,2025-01-22,entregue
564,1306,2025-01-21,pendente
565,2148,2025-01-13,pago
566,2931,2025-01-13,pendente
567,2300,2025-04-05,pago
568,124,2025-02-17,cancelado
569,1282,2025-04-25,pago
570,2931,2025-02-25,pago
571,2344,2025-03-28,entregue
572,2215,2025-03-30,entregue
573,1776,2025-04-05,pago
574,1830,2025-02-20,enviado
575,705,2025-03-30,pendente
576,1478,2025-03-07,enviado
577,1400,2025-01-28,enviado
578,939,2025-03-30,entregue
579,23,2025-04-11,pendente
580,2786,2025-03-29,pendente
581,557,2025-03-23,cancelado
582,1353,2025-04-06,cancelado
583,676,2025-04-03,pendente
584,171,2025-03-02,cancelado
585,667,2025-05-22,cancelado
586,635,2025-04-23,pendente
587,572,2025-04-28,pago
588,2244,2025-02-04,pago
589,1669,2025-05-20,entregue
590,77,2025-03-28,enviado
591,1181,2025-04-28,enviado
592,2309,2025-01-27,pendente
593,972,2025-02-03,cancelado
594,41,2025-01-09,enviado
595,1505,2025-02-20,enviado
596,354,2025-05-27,cancelado
597,2770,2025-04-05,enviado
598,1497,2025-03-19,pendente
599,1678,2025-02-03,pago
600,1479,2025-05-17,cancelado
601,1034,2025-01-27,pago
602,872,2025-01-29,cancelado
603,760,2025-05-17,cancelado
604,553,2025-04-19,cancelado
605,457,2025-04-03,enviado
606,2384,2025-02-23,cancelado
607,2293,2025-05-07,cancelado
608,394,2025-01-04,cancelado
609,678,2025-04-08,enviado
610,1047,2025-05-31,entregue
611,1075,2025-01-16,entregue
612,758,2025-01-31,entregue
613,1715,2025-04-21,enviado
614,399,2025-05-10,enviado
615,614,2025-06-02,enviado
616,735,2025-01-23,enviado
617,1834,2025-05-21,pendente
618,1533,2025-03-10,enviado
619,1099,2025-02-26,enviado
620,609,2025-04-28,entregue
621,848,2025-04-23,pago
622,646,2025-05-22,cancelado
623,1884,2025-02-23,cancelado
624,1749,2025-05-09,cancelado
625,2881,2025-06-03,pago
626,7,2025-02-11,enviado
627,560,2025-05-15,pendente
628,1807,2025-03-25,entregue
629,2325,2025-02-12,pendente
630,214,2025-05-28,entregue
631,1186,2025-03-17,cancelado
632,2826,2025-02-20,pago
633,1765,2025-02-26,pendente
634,2911,2025-02-22,cancelado
635,940,2025-06-01,entregue
636,2517,2025-04-24,entregue
637,2023,2025-02-01,cancelado
638,1742,2025-01-22,entregue
639,1660,2025-04-10,pendente
640,1270,2025-03-13,pago
641,686,2025-01-25,enviado
642,500,2025-03-07,cancelado
643,2552,2025-01-07,entregue
644,652,2025-01-01,cancelado
645,1598,2025-01-29,pago
646,2942,2025-02-21,pago
647,1047,2025-05-01,pendente
648,1875,2025-05-07,enviado
649,1966,2025-05-29,enviado
650,2081,2025-02-01,pago
651,1280,2025-04-29,cancelado
652,118,2025-03-29,entregue
653,2850,2025-02-22,pago
654,1112,2025-04-26,pago
655,1532,2025-05-26,pendente
656,1176,2025-04-30,cancelado
657,1768,2025-05-02,pago
658,28,2025-06-01,pago
659,2495,2025-05-10,entregue
660,546,2025-05-22,enviado
661,2960,2025-05-17,cancelado
662,2269,2025-01-26,pago
663,514,2025-03-27,entregue
664,2313,2025-03-12,entregue
665,1480,2025-01-15,entregue
666,2510,2025-03-13,pago
667,127,2025-03-14,cancelado
668,1623,2025-03-14,entregue
669,1414,2025-05-05,enviado
670,584,2025-05-24,enviado
671,2043,2025-03-26,enviado
672,1627,2025-04-29,cancelado
673,988,2025-05-23,entregue
674,828,2025-05-24,pago
675,2035,2025-06-04,entregue
676,155,2025-04-07,entregue
677,830,2025-05-10,cancelado
678,1198,2025-02-23,entregue
679,425,2025-03-24,enviado
680,1108,2025-02-18,pago
681,618,2025-01-20,pago
682,1259,2025-05-21,pago
683,672,2025-03-05,enviado
684,857,2025-03-25,cancelado
685,2429,2025-01-19,pago
686,246,2025-01-01,pendente
687,519,2025-03-06,enviado
688,2355,2025-04-22,enviado
689,1162,2025-04-12,pago
690,251,2025-06-02,enviado
691,2347,2025-01-18,enviado
692,442,2025-02-06,entregue
693,1068,2025-04-21,enviado
694,2923,2025-02-14,cancelado
695,2299,2025-01-10,cancelado
696,2563,2025-02-13,enviado
697,442,2025-05-05,cancelado
698,2284,2025-01-07,pendente
699,122,2025-01-12,enviado
700,2985,2025-02-27,entregue
701,2488,2025-03-12,entregue
702,1301,2025-04-27,cancelado
703,938,2025-05-23,pendente
704,1742,2025-03-25,entregue
705,2735,2025-04-28,pendente
706,2428,2025-02-22,enviado
707,2235,2025-04-19,enviado
708,2968,2025-05-24,pago
709,166,2025-02-16,pendente
710,517,2025-06-04,entregue
711,1496,2025-01-07,pendente
712,1527,2025-06-03,enviado
713,2115,2025-04-02,cancelado
714,2427,2025-03-21,entregue
715,2209,2025-03-25,pendente
716,431,2025-03-01,cancelado
717,2269,2025-03-08,pago
718,866,2025-03-29,enviado
719,2632,2025-04-14,cancelado
720,1649,2025-03-18,pago
721,169,2025-02-25,pendente
722,134,2025-02-22,enviado
723,852,2025-01-22,entregue
724,2336,2025-05-12,pendente
725,1686,2025-04-07,pago
726,1387,2025-04-29,pendente
727,423,2025-05-14,pago
728,1120,2025-02-26,pago
729,2693,2025-01-05,pago
730,883,2025-03-16,entregue
731,1783,2025-04-15,pago
732,833,2025-04-09,pendente
733,2140,2025-01-10,enviado
734,1715,2025-02-21,pago
735,2088,2025-02-05,pendente
736,2524,2025-03-13,enviado
737,2600,2025-04-12,enviado
738,1030,2025-01-10,cancelado
739,957,2025-05-30,entregue
740,2373,2025-02-15,pago
741,2319,2025-03-25,pendente
742,2320,2025-04-08,pendente
743,1088,2025-05-18,entregue
744,2625,2025-03-06,pendente
745,154,2025-02-18,pendente
746,1343,2025-03-27,enviado
747,470,2025-03-15,cancelado
748,1160,2025-02-25,pendente
749,986,2025-04-17,enviado
750,2337,2025-05-05,pendente
751,397,2025-01-06,entregue
752,1967,2025-03-27,pago
753,1330,2025-05-01,pago
754,535,2025-03-06,pago
755,565,2025-03-22,pendente
756,2927,2025-05-21,cancelado
757,222,2025-05-17,entregue
758,1953,2025-06-03,cancelado
759,2261,2025-01-11,pago
760,1738,2025-02-18,pago
761,891,2025-04-30,cancelado
762,399,2025-05-22,enviado
763,716,2025-05-04,enviado
764,418,2025-02-07,entregue
765,1847,2025-04-16,pago
766,2660,2025-02-03,entregue
767,1073,2025-04-02,entregue
768,781,2025-04-23,entregue
769,2741,2025-04-23,pago
770,2469,2025-02-20,pago
771,2335,2025-05-18,entregue
772,1437,2025-02-16,entregue
773,1074,2025-01-31,entregue
774,685,2025-02-04,pago
775,2970,2025-04-23,cancelado
776,2219,2025-02-19,entregue
777,451,2025-05-01,pago
778,2493,2025-02-24,enviado
779,2795,2025-04-12,cancelado
780,1133,2025-03-24,pendente
781,1252,2025-02-24,entregue
782,868,2025-03-20,entregue
783,921,2025-04-28,enviado
784,2373,2025-01-07,enviado
785,101,2025-04-12,enviado
786,144,2025-03-07,entregue
787,2995,2025-02-28,pendente
788,2344,2025-01-16,cancelado
789,90,2025-03-25,pendente
790,219,2025-05-25,entregue
791,2553,2025-03-27,enviado
792,1856,2025-04-22,enviado
793,2637,2025-05-31,pendente
794,2277,2025-05-09,entregue
795,435,2025-01-21,entregue
796,1121,2025-01-12,pendente
797,1389,2025-02-25,pendente
798,256,2025-06-01,enviado
799,2678,2025-01-24,pendente
800,2542,2025-06-04,pendente
801,2582,2025-03-27,cancelado
802,2583,2025-05-17,pendente
803,2347,2025-05-29,cancelado
804,141,2025-03-26,pago
805,2426,2025-02-10,cancelado
806,1688,2025-03-27,enviado
807,413,2025-05-29,pendente
808,741,2025-05-30,pendente
809,637,2025-04-21,cancelado
810,980,2025-05-17,pago
811,1979,2025-02-18,cancelado
812,1065,2025-03-24,entregue
813,837,2025-01-16,pendente
814,2139,2025-01-22,cancelado
815,1999,2025-05-03,pendente
816,936,2025-04-21,pago
817,1614,2025-03-14,entregue
818,272,2025-03-18,pago
819,936,2025-05-14,pendente
820,637,2025-05-31,entregue
821,2755,2025-01-15,entregue
822,1722,2025-03-21,enviado
823,2493,2025-04-23,pago
824,2251,2025-02-06,pendente
825,2263,2025-04-16,entregue
826,636,2025-05-20,entregue
827,2347,2025-02-11,pago
828,198,2025-05-28,enviado
829,1583,2025-02-23,cancelado
830,1966,2025-01-05,entregue
831,2443,2025-04-21,entregue
832,1361,2025-03-01,cancelado
833,948,2025-02-04,pendente
834,1225,2025-04-26,cancelado
835,2055,2025-03-13,pago
836,1393,2025-02-04,enviado
837,983,2025-05-10,cancelado
838,1780,2025-02-03,enviado
839,1197,2025-05-19,entregue
840,1321,2025-03-17,enviado
841,851,2025-03-08,pendente
842,1243,2025-04-09,enviado
843,800,2025-02-04,pendente
844,994,2025-01-22,entregue
845,2187,2025-04-01,pago
846,1294,2025-05-26,pago
847,1714,2025-05-20,entregue
848,1003,2025-01-02,enviado
849,2142,2025-03-04,enviado
850,1608,2025-04-28,pendente
851,2398,2025-01-22,entregue
852,1803,2025-02-12,pendente
853,683,2025-05-19,pendente
854,2147,2025-02-01,enviado
855,1086,2025-03-04,pendente
856,1599,2025-05-22,entregue
857,815,2025-06-01,pendente
858,2474,2025-01-16,pago
859,248,2025-05-27,entregue
860,1744,2025-04-17,enviado
861,1749,2025-05-03,entregue
862,167,2025-05-18,enviado
863,1940,2025-03-28,cancelado
864,2419,2025-01-01,pendente
865,354,2025-04-15,pendente
866,619,2025-04-01,cancelado
867,2291,2025-05-14,pago
868,673,2025-03-14,enviado
869,1742,2025-05-21,pago
870,2072,2025-03-27,enviado
871,1993,2025-06-02,pago
872,2613,2025-03-20,pendente
873,1104,2025-01-07,pago
874,2541,2025-01-19,pago
875,1010,2025-02-22,pago
876,55,2025-02-01,pendente
877,1810,2025-05-02,enviado
878,1236,2025-02-15,cancelado
879,84,2025-02-11,entregue
880,1912,2025-04-24,cancelado
881,2672,2025-03-04,pago
882,158,2025-04-08,pago
883,2679,2025-01-26,pendente
884,2137,2025-03-23,entregue
885,1452,2025-05-22,pendente
886,1284,2025-02-08,pendente
887,2777,2025-04-14,entregue
888,2951,2025-03-10,cancelado
889,951,2025-03-05,enviado
890,1545,2025-05-09,pendente
891,1774,2025-03-30,entregue
892,2001,2025-04-11,pago
893,886,2025-04-07,pendente
